time_iso8601,clones_total,clones_unique,views_total,views_unique
2021-08-20 00:00:00+00:00,7,5,3.0,3.0
2021-08-21 00:00:00+00:00,6,4,2.0,2.0
2021-08-22 00:00:00+00:00,6,4,6.0,1.0
2021-08-23 00:00:00+00:00,5,3,,
2021-08-24 00:00:00+00:00,5,3,2.0,1.0
2021-08-25 00:00:00+00:00,8,6,,
2021-08-26 00:00:00+00:00,4,2,9.0,2.0
2021-08-27 00:00:00+00:00,7,5,,
2021-08-28 00:00:00+00:00,5,3,,
2021-08-29 00:00:00+00:00,4,2,,
2021-08-30 00:00:00+00:00,6,4,,
2021-08-31 00:00:00+00:00,5,3,,
2021-09-01 00:00:00+00:00,4,2,,
2021-09-02 00:00:00+00:00,1,1,,
