time_iso8601,clones_total,clones_unique,views_total,views_unique
2021-10-13 00:00:00+00:00,9.0,3.0,11.0,2.0
2021-10-14 00:00:00+00:00,9.0,5.0,13.0,4.0
2021-10-15 00:00:00+00:00,7.0,3.0,3.0,3.0
2021-10-16 00:00:00+00:00,7.0,3.0,,
2021-10-17 00:00:00+00:00,6.0,2.0,,
2021-10-18 00:00:00+00:00,8.0,4.0,25.0,2.0
2021-10-19 00:00:00+00:00,16.0,2.0,5.0,1.0
2021-10-20 00:00:00+00:00,27.0,6.0,,
2021-10-21 00:00:00+00:00,23.0,6.0,53.0,3.0
2021-10-22 00:00:00+00:00,20.0,4.0,16.0,1.0
2021-10-23 00:00:00+00:00,11.0,4.0,8.0,3.0
2021-10-24 00:00:00+00:00,7.0,3.0,,
2021-10-25 00:00:00+00:00,,,5.0,1.0
2021-10-26 00:00:00+00:00,,,2.0,1.0
