time_iso8601,clones_total,clones_unique,views_total,views_unique
2021-10-11 00:00:00+00:00,8,4,6.0,2.0
2021-10-12 00:00:00+00:00,8,4,3.0,1.0
2021-10-13 00:00:00+00:00,9,3,11.0,2.0
2021-10-14 00:00:00+00:00,9,5,13.0,4.0
2021-10-15 00:00:00+00:00,7,3,3.0,3.0
2021-10-16 00:00:00+00:00,7,3,,
2021-10-17 00:00:00+00:00,6,2,,
2021-10-18 00:00:00+00:00,8,4,25.0,2.0
2021-10-19 00:00:00+00:00,6,2,5.0,1.0
2021-10-20 00:00:00+00:00,10,6,,
2021-10-21 00:00:00+00:00,10,6,,
2021-10-22 00:00:00+00:00,8,4,,
2021-10-23 00:00:00+00:00,8,4,1.0,1.0
