time_iso8601,clones_total,clones_unique,views_total,views_unique
2021-09-22 00:00:00+00:00,4.0,2.0,,
2021-09-23 00:00:00+00:00,30.0,7.0,194.0,5.0
2021-09-24 00:00:00+00:00,8.0,4.0,,
2021-09-25 00:00:00+00:00,7.0,3.0,2.0,2.0
2021-09-26 00:00:00+00:00,8.0,4.0,2.0,2.0
2021-09-27 00:00:00+00:00,7.0,3.0,1.0,1.0
2021-09-28 00:00:00+00:00,6.0,2.0,11.0,3.0
2021-09-29 00:00:00+00:00,9.0,5.0,5.0,3.0
2021-09-30 00:00:00+00:00,8.0,4.0,,
2021-10-01 00:00:00+00:00,8.0,4.0,,
2021-10-02 00:00:00+00:00,9.0,5.0,,
2021-10-03 00:00:00+00:00,8.0,4.0,2.0,2.0
2021-10-04 00:00:00+00:00,8.0,4.0,2.0,1.0
2021-10-05 00:00:00+00:00,,,6.0,1.0
