time_iso8601,clones_total,clones_unique,views_total,views_unique
2021-08-22 00:00:00+00:00,6.0,4.0,6.0,1.0
2021-08-23 00:00:00+00:00,5.0,3.0,,
2021-08-24 00:00:00+00:00,5.0,3.0,2.0,1.0
2021-08-25 00:00:00+00:00,8.0,6.0,,
2021-08-26 00:00:00+00:00,4.0,2.0,9.0,2.0
2021-08-27 00:00:00+00:00,7.0,5.0,,
2021-08-28 00:00:00+00:00,5.0,3.0,,
2021-08-29 00:00:00+00:00,4.0,2.0,,
2021-08-30 00:00:00+00:00,6.0,4.0,,
2021-08-31 00:00:00+00:00,5.0,3.0,,
2021-09-01 00:00:00+00:00,4.0,2.0,,
2021-09-02 00:00:00+00:00,6.0,4.0,,
2021-09-03 00:00:00+00:00,12.0,4.0,1.0,1.0
2021-09-04 00:00:00+00:00,,,5.0,1.0
