time_iso8601,clones_total,clones_unique,views_total,views_unique
2021-09-02 00:00:00+00:00,6,4,,
2021-09-03 00:00:00+00:00,12,4,1.0,1.0
2021-09-04 00:00:00+00:00,5,3,6.0,2.0
2021-09-05 00:00:00+00:00,4,2,,
2021-09-06 00:00:00+00:00,6,4,1.0,1.0
2021-09-07 00:00:00+00:00,4,2,,
2021-09-08 00:00:00+00:00,5,3,,
2021-09-09 00:00:00+00:00,4,2,,
2021-09-10 00:00:00+00:00,4,2,3.0,3.0
2021-09-11 00:00:00+00:00,8,6,,
2021-09-12 00:00:00+00:00,5,3,2.0,1.0
2021-09-13 00:00:00+00:00,5,3,1.0,1.0
2021-09-14 00:00:00+00:00,6,4,2.0,2.0
