time_iso8601,clones_total,clones_unique,views_total,views_unique
2021-10-18 00:00:00+00:00,8,4,25.0,2.0
2021-10-19 00:00:00+00:00,16,2,5.0,1.0
2021-10-20 00:00:00+00:00,27,6,,
2021-10-21 00:00:00+00:00,31,6,6.0,1.0
2021-10-22 00:00:00+00:00,33,4,21.0,1.0
2021-10-23 00:00:00+00:00,13,4,9.0,3.0
2021-10-24 00:00:00+00:00,9,3,,
2021-10-25 00:00:00+00:00,14,3,7.0,1.0
2021-10-26 00:00:00+00:00,13,3,23.0,2.0
2021-10-27 00:00:00+00:00,11,5,26.0,3.0
2021-10-28 00:00:00+00:00,6,2,,
2021-10-29 00:00:00+00:00,8,4,1.0,1.0
2021-10-30 00:00:00+00:00,9,5,,
2021-10-31 00:00:00+00:00,1,1,2.0,1.0
