time_iso8601,clones_total,clones_unique,views_total,views_unique
2021-10-20 00:00:00+00:00,27.0,6.0,,
2021-10-21 00:00:00+00:00,31.0,6.0,6.0,1.0
2021-10-22 00:00:00+00:00,33.0,4.0,21.0,1.0
2021-10-23 00:00:00+00:00,13.0,4.0,9.0,3.0
2021-10-24 00:00:00+00:00,9.0,3.0,,
2021-10-25 00:00:00+00:00,14.0,3.0,7.0,1.0
2021-10-26 00:00:00+00:00,13.0,3.0,23.0,2.0
2021-10-27 00:00:00+00:00,11.0,5.0,26.0,3.0
2021-10-28 00:00:00+00:00,6.0,2.0,,
2021-10-29 00:00:00+00:00,8.0,4.0,1.0,1.0
2021-10-30 00:00:00+00:00,9.0,5.0,,
2021-10-31 00:00:00+00:00,8.0,4.0,2.0,1.0
2021-11-01 00:00:00+00:00,8.0,4.0,1.0,1.0
2021-11-02 00:00:00+00:00,,,20.0,2.0
