time_iso8601,clones_total,clones_unique,views_total,views_unique
2021-10-27 00:00:00+00:00,11.0,5.0,26.0,3.0
2021-10-28 00:00:00+00:00,6.0,2.0,1.0,1.0
2021-10-29 00:00:00+00:00,8.0,4.0,1.0,1.0
2021-10-30 00:00:00+00:00,9.0,5.0,,
2021-10-31 00:00:00+00:00,8.0,4.0,2.0,1.0
2021-11-01 00:00:00+00:00,8.0,4.0,1.0,1.0
2021-11-02 00:00:00+00:00,7.0,3.0,20.0,2.0
2021-11-03 00:00:00+00:00,7.0,3.0,1.0,1.0
2021-11-04 00:00:00+00:00,6.0,2.0,,
2021-11-05 00:00:00+00:00,10.0,6.0,1.0,1.0
2021-11-06 00:00:00+00:00,7.0,3.0,,
2021-11-07 00:00:00+00:00,7.0,3.0,,
2021-11-08 00:00:00+00:00,6.0,2.0,,
2021-11-09 00:00:00+00:00,,,1.0,1.0
