time_iso8601,clones_total,clones_unique,views_total,views_unique
2021-09-28 00:00:00+00:00,6,2,11.0,3.0
2021-09-29 00:00:00+00:00,9,5,5.0,3.0
2021-09-30 00:00:00+00:00,8,4,,
2021-10-01 00:00:00+00:00,8,4,,
2021-10-02 00:00:00+00:00,9,5,,
2021-10-03 00:00:00+00:00,8,4,2.0,2.0
2021-10-04 00:00:00+00:00,8,4,2.0,1.0
2021-10-05 00:00:00+00:00,7,3,6.0,1.0
2021-10-06 00:00:00+00:00,6,2,,
2021-10-07 00:00:00+00:00,8,4,,
2021-10-08 00:00:00+00:00,10,6,,
2021-10-09 00:00:00+00:00,9,5,,
2021-10-10 00:00:00+00:00,8,4,,
2021-10-11 00:00:00+00:00,1,1,6.0,2.0
