url_path,views_total,views_unique
/faddat/sos,29,9
/faddat/sos/actions,9,1
/faddat/sos/actions/runs/991775404,5,1
/faddat/sos/issues,4,3
/faddat/sos/tree/master/gaia,4,2
/faddat/sos/actions/runs/1007407678,4,1
/faddat/sos/actions/workflows/gaia.yml,4,1
/faddat/sos/actions/runs/988135314,3,3
/faddat/sos/tree/master/rpi,3,3
/faddat/sos/tree/master/akash,3,2
