time_iso8601,clones_total,clones_unique,views_total,views_unique
2021-07-24 00:00:00+00:00,6,4,,
2021-07-25 00:00:00+00:00,5,3,2.0,2.0
2021-07-26 00:00:00+00:00,4,2,,
2021-07-27 00:00:00+00:00,8,6,,
2021-07-28 00:00:00+00:00,6,4,4.0,2.0
2021-07-29 00:00:00+00:00,5,3,,
2021-07-30 00:00:00+00:00,6,4,5.0,2.0
2021-07-31 00:00:00+00:00,9,7,2.0,1.0
2021-08-01 00:00:00+00:00,6,4,30.0,1.0
2021-08-02 00:00:00+00:00,9,7,12.0,2.0
2021-08-03 00:00:00+00:00,4,2,,
2021-08-04 00:00:00+00:00,4,2,,
2021-08-05 00:00:00+00:00,17,7,27.0,3.0
2021-08-06 00:00:00+00:00,24,1,3.0,3.0
