time_iso8601,clones_total,clones_unique,views_total,views_unique
2021-07-11 00:00:00+00:00,7,5,18.0,4.0
2021-07-12 00:00:00+00:00,11,3,,
2021-07-13 00:00:00+00:00,6,4,15.0,1.0
2021-07-14 00:00:00+00:00,7,5,18.0,2.0
2021-07-15 00:00:00+00:00,7,5,2.0,1.0
2021-07-16 00:00:00+00:00,5,3,,
2021-07-17 00:00:00+00:00,9,7,,
2021-07-18 00:00:00+00:00,5,3,,
2021-07-19 00:00:00+00:00,5,3,13.0,1.0
2021-07-20 00:00:00+00:00,5,3,1.0,1.0
2021-07-21 00:00:00+00:00,4,2,,
2021-07-22 00:00:00+00:00,9,4,23.0,1.0
2021-07-23 00:00:00+00:00,8,6,2.0,2.0
2021-07-24 00:00:00+00:00,1,1,,
