time_iso8601,clones_total,clones_unique,views_total,views_unique
2021-07-30 00:00:00+00:00,6,4,5.0,2.0
2021-07-31 00:00:00+00:00,9,7,2.0,1.0
2021-08-01 00:00:00+00:00,6,4,30.0,1.0
2021-08-02 00:00:00+00:00,9,7,12.0,2.0
2021-08-03 00:00:00+00:00,4,2,,
2021-08-04 00:00:00+00:00,4,2,,
2021-08-05 00:00:00+00:00,17,7,27.0,3.0
2021-08-06 00:00:00+00:00,29,4,3.0,3.0
2021-08-07 00:00:00+00:00,29,11,53.0,2.0
2021-08-08 00:00:00+00:00,5,3,1.0,1.0
2021-08-09 00:00:00+00:00,6,4,1.0,1.0
2021-08-10 00:00:00+00:00,6,4,4.0,2.0
2021-08-11 00:00:00+00:00,7,5,14.0,2.0
