time_iso8601,clones_total,clones_unique,views_total,views_unique
2021-07-21 00:00:00+00:00,4,2,,
2021-07-22 00:00:00+00:00,9,4,23.0,1.0
2021-07-23 00:00:00+00:00,8,6,2.0,2.0
2021-07-24 00:00:00+00:00,6,4,,
2021-07-25 00:00:00+00:00,5,3,2.0,2.0
2021-07-26 00:00:00+00:00,4,2,,
2021-07-27 00:00:00+00:00,8,6,,
2021-07-28 00:00:00+00:00,6,4,4.0,2.0
2021-07-29 00:00:00+00:00,5,3,,
2021-07-30 00:00:00+00:00,6,4,5.0,2.0
2021-07-31 00:00:00+00:00,9,7,2.0,1.0
2021-08-01 00:00:00+00:00,6,4,30.0,1.0
2021-08-02 00:00:00+00:00,9,7,12.0,2.0
